codigo_municipio,municipio,uf,proporcao_haddad,proporcao_bolsonaro,votos_haddad,votos_bolsonaro,votos_validos
4101804,ARAUCÁRIA,PR,0.348,0.652,25283,47434,72717
4128104,UMUARAMA,PR,0.236,0.764,14381,46489,60870
4103701,CAMBÉ,PR,0.234,0.766,12795,41798,54593
4107652,FAZENDA RIO GRANDE,PR,0.314,0.686,16536,36168,52704
4100400,ALMIRANTE TAMANDARÉ,PR,0.326,0.674,17171,35436,52607
4118402,PARANAVAÍ,PR,0.27,0.73,12793,34585,47378
4104303,CAMPO MOURÃO,PR,0.324,0.676,16510,34383,50893
4105508,CIANORTE,PR,0.21,0.79,9029,34002,43031
4119509,PIRAQUARA,PR,0.34,0.66,16251,31538,47789
4118501,PATO BRANCO,PR,0.352,0.648,16395,30191,46586
4126256,SARANDI,PR,0.377,0.623,17398,28697,46095
4122404,ROLÂNDIA,PR,0.219,0.781,8017,28551,36568
4108403,FRANCISCO BELTRÃO,PR,0.438,0.562,21869,28034,49903
4104907,CASTRO,PR,0.326,0.674,13169,27181,40350
4127106,TELÊMACO BORBA,PR,0.304,0.696,11740,26848,38588
4114609,MARECHAL CÂNDIDO RONDON,PR,0.223,0.777,6664,23281,29945
4110706,IRATI,PR,0.347,0.653,12333,23159,35492
4120606,PRUDENTÓPOLIS,PR,0.267,0.733,7999,21933,29932
4109807,IBIPORÃ,PR,0.245,0.755,7070,21838,28908
4128203,UNIÃO DA VITÓRIA,PR,0.307,0.693,9105,20508,29613
4106407,CORNÉLIO PROCÓPIO,PR,0.278,0.722,7513,19513,27026
4115804,MEDIANEIRA,PR,0.292,0.708,7803,18930,26733
4113205,LAPA,PR,0.319,0.681,8862,18887,27749
4124103,SANTO ANTÔNIO DA PLATINA,PR,0.302,0.698,7285,16873,24158
4104006,CAMPINA GRANDE DO SUL,PR,0.312,0.688,7447,16458,23905
4114807,MARIALVA,PR,0.262,0.738,5542,15615,21157
4114203,MANDAGUARI,PR,0.268,0.732,5537,15126,20663
